电影代码: 00100072025, 电影名: 哪吒之魔童闹海, 上映天数: 34
[1.35, 0.00%, 0.01%, 5]
[1.11, 0.00%, 0.00%, 4]
[1.93, 0.00%, 0.02%, 3]
[1.08, 0.00%, 0.01%, 2]
[1.41, 0.00%, 0.01%, 1]
[1.04, 0.00%, 0.01%, 0]
[2.46, 0.00%, 0.01%, 6]
[1.69, 0.00%, 0.01%, 5]
[1.61, 0.00%, 0.01%, 4]
[1.60, 0.00%, 0.01%, 3]
[1.64, 0.00%, 0.01%, 2]
[2.17, 0.00%, 0.01%, 1]
[1.94, 0.00%, 0.01%, 0]
[2.41, 0.00%, 0.01%, 6]
电影代码: 00104472024, 电影名: 小小的我, 上映天数: 67
[0.58, 0.01%, 0.01%, 0]
[2.88, 0.02%, 0.01%, 6]
[2.02, 0.01%, 0.01%, 5]
[1.20, 0.01%, 0.01%, 4]
[1.94, 0.03%, 0.01%, 3]
[1.05, 0.01%, 0.01%, 2]
[1.11, 0.01%, 0.01%, 1]
[0.61, 0.01%, 0.01%, 0]
[1.33, 0.00%, 0.01%, 6]
[0.41, 0.00%, 0.00%, 5]
[1.57, 0.01%, 0.01%, 4]
[1.81, 0.01%, 0.01%, 3]
[1.84, 0.01%, 0.01%, 2]
[1.60, 0.01%, 0.01%, 1]
[2.36, 0.01%, 0.01%, 0]
[2.10, 0.00%, 0.01%, 6]
[1.04, 0.00%, 0.00%, 5]
[0.60, 0.00%, 0.00%, 4]
[0.74, 0.00%, 0.01%, 3]
[0.32, 0.00%, 0.01%, 2]
[0.29, 0.00%, 0.01%, 1]
[0.80, 0.00%, 0.01%, 0]
[0.77, 0.00%, 0.01%, 6]
[0.69, 0.00%, 0.01%, 5]
[0.82, 0.00%, 0.01%, 4]
[0.45, 0.00%, 0.01%, 3]
[0.47, 0.00%, 0.01%, 2]
[1.48, 0.00%, 0.01%, 1]
[1.21, 0.00%, 0.01%, 0]
[0.94, 0.00%, 0.01%, 6]
电影代码: 01200062025, 电影名: 去唱卡拉OK吧！, 上映天数: 46
[0.28, 0.01%, 0.01%, 0]
[1.75, 0.01%, 0.01%, 6]
[1.47, 0.01%, 0.01%, 5]
[0.78, 0.01%, 0.01%, 4]
[0.31, 0.00%, 0.01%, 3]
[0.45, 0.01%, 0.01%, 2]
[0.45, 0.01%, 0.01%, 1]
